"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
1,49,31,5,0,6,1207,0,30,6,3
1,46,31,5,0,6,1207,0,30,6,3
1,55,31,5,0,6,1207,0,30,6,3
1,45,31,5,0,6,1207,0,30,6,3
1,44,31,5,0,6,1207,0,30,6,3
1,33,31,5,0,6,1207,0,30,6,3
1,46,31,5,0,6,1207,0,30,6,3
1,41,31,5,0,6,1207,0,30,6,3
1,30,31,5,0,6,1207,0,30,6,3
1,35,21,5,0,6,1207,0,20,4,2
1,48,36,5,0,6,1207,0,35,3,4
1,-42,36,4,0,7,-166,0,35,3,4
1,-36,28,4,0,7,-166,0,27,3,3
1,-42,36,4,0,7,-166,0,35,3,4
1,25,45,4,0,7,-166,0,44,4,5
1,20,45,4,0,7,-166,0,44,4,5
1,36,20,4,0,7,-166,0,19,3,2
1,42,30,4,0,7,-166,0,29,5,3
1,-42,43,4,0,7,-166,0,42,2,5
1,-46,23,4,0,7,-166,0,22,6,2
1,36,13,4,0,7,-166,0,12,4,1
1,52,14,4,0,7,-166,0,13,5,1
1,-7,62,4,0,7,-166,0,61,5,7
1,-52,43,4,0,7,-166,0,42,2,5
1,43,47,4,0,7,-166,0,46,6,5
1,-52,43,4,0,7,-166,0,42,2,5
1,40,47,4,0,7,-166,0,46,6,5
1,32,42,4,0,7,-166,0,41,1,5
1,-49,39,4,0,7,-166,0,38,6,4
1,-41,26,4,0,7,-166,0,25,1,3
1,-50,39,4,0,7,-166,0,38,6,4
1,-45,26,4,0,7,-166,0,25,1,3
1,21,56,4,0,7,-166,0,55,7,6
1,-6,51,4,0,7,-166,0,50,2,6
1,6,40,4,0,7,-166,0,39,7,4
1,-9,60,4,0,7,-166,0,59,3,7
1,-33,31,1,1,8,278,0,30,6,3
1,50,37,1,1,8,278,0,36,4,4
1,40,16,1,1,8,278,0,15,7,1
1,42,37,1,1,8,278,0,36,4,4
1,31,16,1,1,8,278,0,15,7,1
1,-36,19,1,1,8,278,0,18,2,2
1,21,21,1,1,8,278,0,20,4,2
1,-44,19,1,1,8,278,0,18,2,2
1,-17,22,1,1,8,278,0,21,5,2
1,65,36,1,1,8,278,0,35,3,4
1,7,15,1,1,8,278,0,14,6,1
1,-3,28,1,1,8,278,0,27,3,3
1,21,21,1,1,8,278,0,20,4,2
1,12,18,1,1,8,278,0,17,1,2
1,14,27,1,1,8,278,0,26,2,3
1,16,38,1,1,8,278,0,37,5,4
1,26,54,1,1,8,278,0,53,5,6
1,-22,60,1,1,8,278,0,59,3,7
1,-37,55,1,1,8,278,0,54,6,6
1,-32,47,1,1,8,278,0,46,6,5
1,10,51,1,1,8,278,0,50,2,6
1,60,45,1,1,8,278,0,44,4,5
1,5,40,1,1,8,278,0,39,7,4
1,31,32,1,1,8,278,0,31,7,3
1,51,32,1,1,8,278,0,31,7,3
1,-34,31,6,0,9,-146,0,30,6,3
1,10,23,6,0,9,-146,0,22,6,2
1,-43,35,6,0,9,-146,0,34,2,4
1,54,16,6,0,9,-146,0,15,7,1
1,43,34,6,0,9,-146,0,33,1,4
1,36,22,6,0,9,-146,0,21,5,2
1,-35,35,6,0,9,-146,0,34,2,4
1,6,30,6,0,9,-146,0,29,5,3
1,6,36,6,0,9,-146,0,35,3,4
