playerNr,groupNr,subjectNr,period,check,prolificID,orderEnvs1,orderEnvs2,orderEnvs3,counter1,counter2,counter3,orderRounds,thisRound,treatment,gemPresent,socialInfo,points,refreshTaskCount,clickedCells,totalPoints,thisEnv,consent,rnd_decI,counterEnv1ng,qR1,qR2,qR3,newvar,strategy,general,age,gender,time_check,time_welcome,time_consent,time_i1,time_i2,time_i3,time_i4,time_i5,time_i6,time_i7,time_i8,time_i9,time_i10,time_iend,time_quiz,time_play.(old),time_play,time_break,time_Questionnaire,time_end,time_376482
2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,NA,0,"61,27,31,38,39,47,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","28,36,46,37,-12,-42,12,-23,-24,32,73,72,-22,37,-39,-7,2,-21,49,-8,-73,49,60,66,46",NA,"8,16,24,32,40,48,56,64,63,46,12,12,19,12,28,34,43,44,2,1,18,2,12,12,12",374,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,NA,1,"6,54,46,45,28,28,28,51,28,28,25,41,35,34,42,42,42,42,28,28,28,28,28,42,42","-20,-73,-44,-48,44,55,7,4,-11,17,46,-38,-14,-28,260,247,269,270,265,254,254,258,262,246,264",NA,"8,57,1,64,46,28,22,44,34,51,12,18,41,25,38,38,38,38,38,38,38,38,38,38,38",2746,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,NA,1,"27,4,39,49,49,49,49,49,49,49,49,49,14,17,53,7,53,53,53,49,49,49,49,49,49","-27,51,-33,-64,25,-27,30,46,27,26,-16,-37,-32,-1,2,249,248,257,244,250,261,244,248,254,254",NA,"8,57,1,64,61,59,27,49,41,33,25,42,34,30,18,46,46,46,46,46,46,46,46,46,46",2479,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"376,1625,838,1244,1434,921,408,795,1912,254,1650,1639",376,0,1,"30,30,30,30,30,30,28,19,19,19,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36","49,49,52,51,-13,52,-19,48,-5,32,43,38,-61,-52,45,31,48,51,38,7,22,15,23,28,37",1,"29,29,29,29,28,29,22,29,37,24,24,24,32,16,24,24,29,29,24,10,10,10,10,13,13",609,4,0,6,0,3,2,2,2,NA,NA,NA,NA,9,4,6,49,16,27,6,5,2,6,5,14,5,49,27,NA,NA,NA,NA,NA,NA
3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,NA,1,"11,34,54,44,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20",NA,NA,NA,102,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"1177,1912,2195,1599,795,921,1639,1899,332,376,1650,905",1177,0,1,"63,63,22,22,44,35,58,54,54,54,54,54,37,38,38,38,38,38,38,48,20,19,27,27,27","-15,37,18,10,0,-7,-57,-15,-45,36,36,38,36,36,35,38,37,37,36,35,36,-22,-31,35,37",0,"28,63,55,22,22,44,35,58,35,54,54,54,54,54,54,54,54,54,54,54,54,20,19,54,54",381,8,0,4,0,3,2,2,2,NA,NA,NA,NA,36,34,22,75,24,13,24,45,18,34,18,53,35,27,67,NA,NA,NA,NA,NA,NA
4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,NA,1,"45,54,46,47,48,55,39,38,30,37,53,61,52,60,60,60,60,60,60,60,60,60,60,60,60","-7,11,6,4,27,29,-29,-2,26,-49,2,25,-21,54,70,262,268,254,270,259,21,48,-13,248,49",NA,"24,45,54,46,47,48,55,48,38,30,37,47,1,52,52,60,60,60,60,60,63,15,19,60,26",1812,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA,0,"64,57,8,8,8,21,21,21,21,21,21,21,18,18,18,18,18,21,21,21,21,21,21,21,21","-23,-23,-26,54,57,23,-65,-22,41,41,44,46,44,48,6,42,49,30,-14,-28,51,7,11,-52,3",NA,"8,1,58,22,22,4,43,40,22,22,22,22,22,22,19,22,54,29,12,52,54,16,17,33,49",344,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599,NA,0,"22,35,45,19,15,50,51,43,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","7,-52,21,16,11,18,48,-51,-45,-3,-56,29,49,49,18,43,38,33,49,-18,25,-17,48,35,54",NA,"24,23,36,46,20,1,4,52,33,31,14,4,4,4,4,4,4,4,4,25,4,64,35,58,35",349,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,1,"27,27,27,27,27,27,27,27,27,27,22,30,46,46,22,45,45,45,45,45,45,45,45,45,45","-8,289,285,268,266,266,252,261,272,281,255,268,261,16,61,-52,237,234,231,238,247,-37,23,-40,-6",NA,"3,58,58,58,58,58,58,58,58,58,58,58,58,47,23,19,46,46,46,46,46,6,34,28,30",4368,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
