playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_379596ready,wait_376393ready,wait_376483ready,wait_376394ready,wait_376395ready,wait_376396ready,wait_376397ready,wait_376398ready,wait_376399ready,wait_376400ready,wait_376401ready,wait_376455ready,wait_376468ready,wait_376402ready,wait_379597ready,wait_376540ready,wait_379440ready,wait_376405ready,wait_379831ready,wait_376406ready,wait_376482ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
64,0,0,0,0,12,end,0,1694708671,1694708694,f1f8e2bc06d3968ebd35fc8b8c1e7db6,99.38.172.,42.6442#-82.8985,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
65,0,0,0,0,1,check,NA,1694707771,1694707908,50699c25895c9521537576384f38df01,47.33.247.,42.4289#-83.7828,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
66,0,0,0,0,12,end,NA,1694710042,1694710049,4aaa82c02f37b4b6ea496c3dbee015a6,75.67.28.1,42.0581#-70.8077,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
67,0,0,0,0,12,end,NA,1694709585,1694709597,8407fea6ba287d2b12dcdd9c7f637fc2,172.108.19,33.2205#-97.1294,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
68,0,0,0,0,12,end,NA,1694710141,1694710159,d7c15566e46c1054c9ab3f020f57ddf6,174.224.11,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
69,0,0,0,0,12,end,NA,1694710156,1694710169,aba13622c3db9ff66fa52fcc89df7e23,72.110.246,39.4347#-84.6208,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
70,0,0,0,0,12,end,NA,1694710131,1694710139,d9e316b89c79b128ca09eecd0991d04d,76.108.162,27.3937#-80.3175,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
71,0,0,0,0,12,end,NA,1694709861,1694709867,03ad640e9c340ece3d44fe98b776eb69,38.42.250.,42.3252#-71.095,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
72,0,0,0,0,12,end,NA,1694710135,1694710148,645d01d69b4e1f646a2c931d21abc1d4,107.129.21,30.1424#-95.4717,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
73,0,0,0,0,12,end,NA,1694710062,1694710069,52223ce3f6ead77b4f60c4c825ae1f32,71.254.198,40.2183#-77.0281,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
74,0,0,0,0,12,end,NA,1694710170,1694710182,ae88c36be1772a02905158b369ece34e,148.75.179,40.325#-74.2682,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
75,0,0,0,0,12,end,NA,1694710984,1694710991,8eb268495ca0e6e6267c572e2c0ef357,107.137.22,32.9758#-80.1869,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
76,0,0,0,0,12,end,NA,1694710541,1694710554,5e829a328c0b6d05288aba4dac554d1c,107.77.216,28.6344#-81.6221,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
77,0,0,0,0,12,end,NA,1694710752,1694710757,12268cf57e8bb3e66917357fc16330be,169.239.20,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
78,0,0,0,0,12,end,NA,1694710778,1694710785,b1daff6fdd17c30e8912b15c40cb3553,72.193.96.,36.2473#-115.2821,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
79,0,0,0,0,12,end,NA,1694710424,1694710430,2bed7b6af1a009e6f737eab123a03a28,24.191.18.,41.5638#-73.7953,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
80,0,0,0,0,12,end,NA,1694710341,1694710353,4169d0e91136ef8feb428efbe0299376,98.96.13.7,30.0529#-95.1783,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
81,0,0,0,0,12,end,NA,1694711570,1694711579,26218ed2ff1ffc3e4b1aa92ccd11e70d,24.236.167,43.1757#-83.8771,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
82,0,0,0,0,12,end,NA,1694710629,1694710636,3d2b6780b0bba00c99f358277773931e,108.50.215,40.88#-74.1031,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
83,0,0,0,0,12,end,NA,1694710712,1694710725,aaff7921894ae2edca88a12ffdbb02dc,76.185.2.5,30.5089#-97.6796,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
